Station_ID,Pct_Green,Pct_Impervious,Pct_Other,Method
OM_N2952_W9499,87.85,11.83,0.32,NDVI
OM_N2952_W9509,63.71,32.86,3.43,NDVI
OM_N2952_W9519,71.53,25.89,2.58,NDVI
OM_N2952_W9529,99.07,0.83,0.1,NDVI
OM_N2952_W9539,83.07,16.32,0.61,NDVI
OM_N2952_W9549,83.23,16.16,0.61,NDVI
OM_N2952_W9559,79.52,13.77,6.71,NDVI
OM_N2952_W9569,83.12,16.88,-0.0,NDVI
OM_N2952_W9579,90.53,9.47,-0.0,NDVI
OM_N2962_W9499,32.82,5.49,61.69,NDVI
OM_N2962_W9509,86.05,13.28,0.67,NDVI
OM_N2962_W9519,66.2,31.3,2.5,NDVI
OM_N2962_W9529,75.75,24.25,0.0,NDVI
OM_N2962_W9539,79.97,19.92,0.11,NDVI
OM_N2962_W9549,50.84,48.64,0.52,NDVI
OM_N2962_W9559,74.65,21.19,4.16,NDVI
OM_N2962_W9569,82.26,17.43,0.31,NDVI
OM_N2962_W9579,98.8,1.15,0.05,NDVI
OM_N2972_W9499,45.85,15.71,38.44,NDVI
OM_N2972_W9509,70.71,29.21,0.08,NDVI
OM_N2972_W9519,69.21,30.71,0.08,NDVI
OM_N2972_W9529,49.59,50.36,0.05,NDVI
OM_N2972_W9539,69.74,30.25,0.01,NDVI
OM_N2972_W9549,62.39,37.58,0.03,NDVI
OM_N2972_W9559,44.1,55.84,0.06,NDVI
OM_N2972_W9569,44.1,55.84,0.06,NDVI
OM_N2972_W9579,71.53,27.69,0.78,NDVI
OM_N2982_W9499,78.56,6.7,14.74,NDVI
OM_N2982_W9509,52.87,47.11,0.02,NDVI
OM_N2982_W9519,86.01,13.93,0.06,NDVI
OM_N2982_W9529,66.59,33.38,0.03,NDVI
OM_N2982_W9539,71.65,28.35,-0.0,NDVI
OM_N2982_W9549,71.65,28.35,-0.0,NDVI
OM_N2982_W9559,57.62,42.34,0.04,NDVI
OM_N2982_W9569,66.62,33.34,0.04,NDVI
OM_N2982_W9579,74.04,23.73,2.23,NDVI
OM_N2992_W9499,97.69,2.29,0.02,NDVI
OM_N2992_W9509,79.98,8.79,11.23,NDVI
OM_N2992_W9519,94.19,2.55,3.26,NDVI
OM_N2992_W9529,94.19,2.55,3.26,NDVI
OM_N2992_W9539,67.64,31.88,0.48,NDVI
OM_N2992_W9549,68.31,31.12,0.57,NDVI
OM_N2992_W9559,52.86,47.13,0.01,NDVI
OM_N2992_W9569,79.78,19.65,0.57,NDVI
OM_N2992_W9579,50.39,48.33,1.28,NDVI
OM_N3002_W9499,96.11,3.52,0.37,NDVI
OM_N3002_W9509,95.73,4.27,-0.0,NDVI
OM_N3002_W9519,90.8,8.19,1.01,NDVI
OM_N3002_W9529,65.62,34.37,0.01,NDVI
OM_N3002_W9539,76.5,23.5,0.0,NDVI
OM_N3002_W9549,80.7,19.27,0.03,NDVI
OM_N3002_W9559,74.68,24.94,0.38,NDVI
OM_N3002_W9569,90.95,8.76,0.29,NDVI
OM_N3002_W9579,97.29,2.56,0.15,NDVI
OM_N3012_W9499,87.79,12.21,-0.0,NDVI
OM_N3012_W9509,92.41,7.05,0.54,NDVI
OM_N3012_W9519,99.75,0.22,0.03,NDVI
OM_N3012_W9529,87.76,12.24,-0.0,NDVI
OM_N3012_W9539,68.63,30.94,0.43,NDVI
OM_N3012_W9549,85.55,14.41,0.04,NDVI
OM_N3012_W9559,75.22,24.25,0.53,NDVI
OM_N3012_W9569,81.87,18.04,0.09,NDVI
OM_N3012_W9579,96.56,3.44,-0.0,NDVI
