Station_ID,Latitude,Longitude,Avg_Summer_Temp
OM_N2992_W9569,29.91,-95.66,47.49
OM_N2992_W9579,29.91,-95.76,47.06
OM_N2962_W9579,29.63,-95.84,51.78
OM_N2982_W9569,29.84,-95.65,46.2
OM_N2982_W9579,29.84,-95.76,48.07
OM_N2992_W9559,29.91,-95.55,47.04
OM_N2952_W9579,29.49,-95.83,47.93
OM_N2992_W9549,29.91,-95.45,48.35
OM_N2962_W9569,29.63,-95.74,49.02
OM_N2982_W9559,29.84,-95.55,48.75
OM_N2972_W9579,29.7,-95.74,44.02
OM_N3012_W9549,30.12,-95.47,42.46
OM_N3002_W9579,30.05,-95.78,45.36
OM_N2972_W9569,29.7,-95.64,50.13
OM_N2972_W9559,29.7,-95.64,50.13
OM_N2962_W9559,29.63,-95.63,46.55
OM_N2982_W9529,29.84,-95.34,48.2
OM_N2972_W9549,29.7,-95.53,49.86
OM_N2992_W9539,29.91,-95.34,48.88
OM_N2982_W9549,29.84,-95.44,45.69
OM_N2982_W9539,29.84,-95.44,45.69
OM_N2962_W9539,29.63,-95.42,49.15
OM_N2962_W9549,29.63,-95.53,49.04
OM_N3002_W9549,30.05,-95.46,43.49
OM_N3002_W9569,30.05,-95.67,45.08
OM_N2972_W9539,29.7,-95.43,45.42
OM_N2952_W9569,29.49,-95.72,53.74
OM_N3012_W9559,30.12,-95.57,43.83
OM_N2982_W9519,29.84,-95.23,44.32
OM_N3012_W9499,30.12,-94.94,46.32
OM_N2952_W9549,29.49,-95.51,45.23
OM_N3002_W9559,30.05,-95.57,48.65
OM_N3012_W9569,30.12,-95.68,46.59
OM_N3012_W9579,30.12,-95.78,39.25
OM_N2992_W9519,29.91,-95.24,40.83
OM_N2992_W9529,29.91,-95.24,40.83
OM_N2972_W9529,29.7,-95.32,48.27
OM_N2962_W9529,29.63,-95.32,46.94
OM_N3012_W9539,30.12,-95.36,45.43
OM_N3002_W9519,30.05,-95.15,42.64
OM_N2952_W9539,29.49,-95.41,44.96
OM_N3012_W9509,30.12,-95.05,37.93
OM_N2952_W9559,29.49,-95.62,41.98
OM_N2982_W9509,29.84,-95.13,45.13
OM_N3002_W9539,30.05,-95.36,46.52
OM_N3002_W9499,29.98,-95.03,43.43
OM_N3002_W9509,30.05,-95.04,44.46
OM_N2972_W9519,29.7,-95.22,48.03
OM_N2962_W9519,29.63,-95.21,44.85
OM_N3012_W9529,30.12,-95.26,44.79
OM_N2992_W9499,29.91,-95.03,47.08
OM_N2992_W9509,29.91,-95.13,37.29
OM_N2952_W9529,29.49,-95.31,46.19
OM_N2982_W9499,29.84,-95.02,41.67
OM_N3002_W9529,30.05,-95.25,46.07
OM_N2972_W9509,29.7,-95.12,48.79
OM_N3012_W9519,30.12,-95.15,37.02
OM_N2962_W9509,29.63,-95.11,43.04
OM_N2952_W9519,29.49,-95.2,48.89
OM_N2952_W9509,29.49,-95.1,46.46
OM_N2972_W9499,29.7,-95.01,33.7
OM_N2962_W9499,29.63,-95.01,38.69
OM_N2952_W9499,29.49,-94.99,43.22
